neighbourhood,p_fcitizen
Baró de Viver,10.48
Can Baró,12.81
Can Peguera,7.41
Canyelles,4.23
Ciutat Meridiana,27.43
Diagonal Mar i el Front Marítim del Poblenou,16.48
el Baix Guinardó,12.60
el Barri Gòtic,41.74
el Besòs i el Maresme,24.52
el Bon Pastor,12.76
el Camp d'en Grassot i Gràcia Nova,12.10
el Camp de l'Arpa del Clot,15.05
el Carmel,12.49
el Clot,13.32
el Coll,13.41
el Congrés i els Indians,12.63
el Fort Pienc,19.36
el Guinardó,12.90
el Parc i la Llacuna del Poblenou,19.68
el Poble Sec,29.20
el Poblenou,16.43
el Putxet i el Farró,12.21
el Raval,48.11
el Turó de la Peira,19.95
Horta,10.01
Hostafrancs,20.24
l'Antiga Esquerra de l'Eixample,18.57
la Barceloneta,31.30
la Bordeta,12.03
la Clota,14.61
la Dreta de l'Eixample,19.15
la Font d'en Fargues,5.40
la Font de la Guatlla,18.34
la Guineueta,7.08
la Marina de Port,13.03
la Marina del Prat Vermell,7.34
la Maternitat i Sant Ramon,10.27
la Nova Esquerra de l'Eixample,16.23
la Prosperitat,13.12
la Sagrada Família,17.22
la Sagrera,11.84
la Salut,11.97
la Teixonera,11.93
la Trinitat Nova,17.62
la Trinitat Vella,27.97
la Vall d'Hebron,8.07
la Verneda i la Pau,10.27
la Vila de Gràcia,18.55
la Vila Olímpica del Poblenou,15.57
les Corts,10.22
les Roquetes,19.36
les Tres Torres,9.95
Montbau,9.90
Navas,13.32
Pedralbes,14.84
Porta,13.67
Provençals del Poblenou,12.64
Sant Andreu,6.85
Sant Antoni,19.64
Sant Genís dels Agudells,10.67
Sant Gervasi - Galvany,10.77
Sant Gervasi - la Bonanova,10.16
Sant Martí de Provençals,10.46
"Sant Pere, Santa Caterina i la Ribera",38.89
Sants,16.11
Sants - Badal,16.02
Sarrià,11.26
Torre Baró,16.12
Vallbona,11.70
Vallcarca i els Penitents,12.12
"Vallvidrera, el Tibidabo i les Planes",13.05
Verdun,16.94
Vilapicina i la Torre Llobeta,12.22
