system:time_start,B1_blue,B2_green,B3_red,B4_nir,B5_swir,B6_NDVI,B7_NDWI
1986-06-06,0.102,0.175,0.238,0.347,0.388,0.187,-0.055
1987-06-06,0.103,0.177,0.227,0.299,0.412,0.136,-0.159
1988-06-06,0.101,0.157,0.206,0.296,0.315,0.181,-0.03
1989-06-06,0.104,0.158,0.192,0.262,0.295,0.154,-0.058
1990-06-06,0.154,0.221,0.272,0.33,0.381,0.097,-0.072
1991-06-06,0.133,0.187,0.211,0.26,0.3,0.105,-0.072
1992-06-06,0.145,0.185,0.205,0.239,0.295,0.078,-0.104
1993-06-06,0.144,0.188,0.205,0.249,0.293,0.098,-0.081
1994-06-06,0.111,0.139,0.149,0.181,0.227,0.098,-0.114
1995-06-06,0.114,0.136,0.137,0.17,0.213,0.109,-0.111
1996-06-06,0.107,0.132,0.137,0.159,0.192,0.074,-0.095
1997-06-06,0.098,0.121,0.132,0.162,0.19,0.104,-0.079
1998-06-06,0.125,0.15,0.16,0.183,0.215,0.064,-0.081
1999-06-06,0.123,0.152,0.167,0.183,0.2,0.045,-0.045
2000-06-06,0.134,0.153,0.157,0.167,0.203,0.031,-0.096
2001-06-06,0.11,0.131,0.14,0.152,0.166,0.038,-0.045
2002-06-06,0.115,0.132,0.134,0.146,0.138,0.041,0.027
2003-06-06,0.113,0.128,0.138,0.153,0.152,0.054,0.004
2004-06-06,0.133,0.169,0.186,0.218,0.257,0.079,-0.082
2005-06-06,0.14,0.181,0.199,0.233,0.257,0.079,-0.05
2006-06-06,0.141,0.171,0.178,0.221,0.226,0.106,-0.012
2007-06-06,0.141,0.186,0.205,0.242,0.257,0.084,-0.029
2008-06-06,0.154,0.183,0.186,0.235,0.232,0.117,0.007
2009-06-06,0.145,0.17,0.18,0.211,0.217,0.078,-0.014
2010-06-06,0.151,0.18,0.184,0.213,0.228,0.073,-0.035
2011-06-06,0.144,0.169,0.175,0.202,0.227,0.072,-0.059
2012-06-06,0.144,0.169,0.175,0.202,0.227,0.072,-0.059
2013-06-06,0.127,0.156,0.165,0.216,0.215,0.135,0.003
2014-06-06,0.114,0.145,0.155,0.202,0.197,0.131,0.013
2015-06-06,0.128,0.158,0.169,0.226,0.24,0.144,-0.029
2016-06-06,0.117,0.146,0.157,0.221,0.24,0.168,-0.04
2017-06-06,0.123,0.153,0.161,0.209,0.209,0.129,0.001
2018-06-06,0.14,0.176,0.188,0.242,0.253,0.125,-0.023
