"","year","x1","x2","x3","x4","x5","du_dy","dyear","urban_land"
"1",1987,0.0430390164862015,0.0770879033399377,1.41585316336144,7.46336304552002,0.0628137552446653,9000,1,511000
"2",1988,0.059644316845779,0.103858809190292,2.07065303564676,7.71868549519847,0.0580112638567148,75000,1,520000
"3",1989,0.0576499839003615,0.119203081984169,2.58550584834412,7.89282552625112,0.0630079339921257,61244,1,595000
"4",1990,0.0610711586982415,0.125961153363067,2.90526037038992,7.98241634682773,0.0672020632625917,68756,1,656244
"5",1991,0.0753195410264689,0.136192993804115,3.3403852422654,8.11910083763749,0.0623824787866235,55000,1,725000
"6",1992,0.14261577523104,0.152852228261208,3.69585506785036,8.30077696085145,0.0558254308789604,62833,1,780000
"7",1993,0.24764039139419,0.188337303158472,4.25745498342083,8.580543506917,0.049937745257354,95232,1,842833
"8",1994,0.319982485137773,0.243588604408112,4.64342889810518,8.87024156729927,0.05299357836344,65646,1,938065
"9",1995,0.342805881503784,0.304095830957826,5.01701490106029,9.01796847932873,0.0545466915852582,118748,1,1003711
"10",1996,0.337497118216208,0.329484210592257,5.06846385370873,9.11899233251688,0.0642520503972321,127541,1,1122459
"11",1997,0.327663026663416,0.342227538773984,5.28846903049322,9.1796749576653,0.0672090082996986,2e+05,1,1250000
"12",1998,0.374966447197375,0.348292073242957,5.57587334270081,9.23337307108675,0.0782557601664533,2e+05,1,1450000
"13",1999,0.414797886799071,0.347443284764836,5.708570991388,9.33335414787133,0.0900227184816019,220000,1,1650000
